parlhand.person.phid,parlhand.chamber.title,parlhand.electorate.label,_state,start_reason,start_date,end_date,_end_event,end_reason
"K3N",Senator,New South Wales,NSW,1975-CASUAL1-NSW,1975-02-27,1975-11-11,1975-SEN,Expired Retired
"JTC",Member,Fremantle,WA,1913-HOR,1913-05-31,1922-11-06,1922-HOR,Retired
"83S",Member,Chisholm,VIC,1998-HOR,1998-10-03,,,
"JTF",Member,Perth,WA,1943-HOR,1943-08-21,1955-12-10,1955-HOR,Defeated
"DYW",Member,Watson ii,NSW,2004-HOR,2004-10-09,,,
"2F4",Senator,Queensland,QLD,1987-SEN,1987-07-11,1996-06-30,1996-SEN,Retired
"JTI",Member,Illawarra,NSW,1913-HOR,1913-05-31,1917-05-05,1917-HOR,Defeated
"JTM",Member,Isaacs,VIC,1977-HOR,1977-12-10,1980-10-18,1980-HOR,Defeated
"3F4",Member,Lyons,TAS,1984-HOR,1984-12-01,1993-02-08,1993-HOR,Retired
"JTP",Member,Wentworth,NSW,1956-BY3-WENTWORTH,1956-12-08,1974-04-11,1974-HOR,Retired
"HLL",Senator,Tasmania,TAS,2007-CASUAL5-TAS,2007-08-30,,,
"HWK",Member,Port Adelaide,SA,2007-HOR,2007-11-24,,,
"248006",Member,Griffith,QLD,2014-BY1-GRIFFITH,2014-02-08,,,
"K3O",Senator,South Australia,SA,1967-SEN,1968-07-01,1974-04-11,1974-SEN,Retired
"4F4",Senator,Victoria,VIC,1974-SEN,1974-05-18,1993-03-31,1993-CASUAL1-VIC,Resigned
"K3Q",Senator,Western Australia,WA,1910-SEN,1910-07-01,1923-06-30,1922-SEN,Defeated
"008K0",Member,Holt,VIC,1999-BY1-HOLT,1999-11-06,,,
"K3R",Senator,Queensland,QLD,1967-SEN,1968-07-01,1974-05-18,1974-SEN,Defeated
"SD4",Member,Mitchell,NSW,1974-HOR,1974-05-18,2007-10-17,2007-HOR,Retired
"1V4",Member,Lalor,VIC,1969-HOR,1969-10-25,1977-11-10,1977-HOR,Retired
"JTS",Member,Lilley,QLD,1974-HOR,1974-05-18,1980-10-18,1980-HOR,Defeated
"JTW",Member,Northern Territory (HoR),NT,1966-HOR,1966-11-26,1980-09-19,1980-HOR,Retired
"5F4",Senator,Tasmania,TAS,1987-SEN,1987-07-11,2007-08-29,2007-CASUAL5-TAS,Resigned
"BV8",Member,Melbourne,VIC,1940-HOR,1940-09-21,1972-11-02,1972-HOR,Retired
"JTY",Member,Barker,SA,1934-HOR,1934-09-15,1956-08-09,1956-BY2-BARKER,Died
"2V4",Member,Hindmarsh,SA,1949-HOR,1949-12-10,1980-09-19,1980-HOR,Retired
"K3S",Senator,Tasmania,TAS,1906-SEN,1907-01-01,1913-06-30,1913-SEN,Defeated
"L8E",Senator,Victoria,VIC,1937-SEN,1938-07-01,1962-06-30,1961-SEN,Retired
"JUJ",Member,Wilmot,TAS,1904-BY1-WILMOT,1904-02-26,1906-12-12,1906-HOR,Defeated
"JUB",Member,Lilley,QLD,1934-HOR,1934-09-15,1937-09-21,1937-HOR,Retired
"JU8",Member,Oxley,QLD,1949-HOR,1949-12-10,1961-12-09,1961-HOR,Defeated
"JUF",Member,Lilley,QLD,1961-HOR,1961-12-09,1963-11-30,1963-HOR,Defeated
"K3T",Senator,South Australia,SA,1969-SEN-PART,1969-10-25,1978-06-30,1977-SEN,Retired
"9F4",Member,Moreton,QLD,1983-BY3-MORETON,1983-11-05,1990-03-24,1990-HOR,Defeated
"AI6",Senator,New South Wales,NSW,2007-SEN,2008-07-01,,,
"6V5",Member,Stirling,WA,1993-HOR,1993-03-13,1998-10-03,1998-HOR,Defeated
"AF4",Member,Indi,VIC,1977-HOR,1977-12-10,1993-02-08,1993-HOR,Retired
"BF4",Member,Maranoa,QLD,1980-HOR,1980-10-18,1990-02-19,1990-HOR,Retired
"JVZ",Member,Barker,SA,1922-HOR,1922-12-16,1934-08-07,1934-HOR,Retired
"K3V",Senator,South Australia,SA,1969-CASUAL1-SA,1969-05-23,1969-10-25,1969-SEN-PART,Expired Defeated
"3K6",Member,Parramatta,NSW,1996-HOR,1996-03-02,2004-10-09,2004-HOR,Defeated
"NB5",Senator,New South Wales,NSW,1997-CASUAL4-NSW,1997-09-17,2008-06-30,2007-SEN,Retired
"CF4",Member,Kalgoorlie,WA,1980-HOR,1980-10-18,1998-10-03,1998-HOR,Defeated
"H15",Senator,Western Australia,WA,1990-CASUAL1-WA,1990-05-16,2007-05-31,2007-CASUAL4-WA,Resigned
"HWC",Member,Bass,TAS,2007-HOR,2007-11-24,2010-07-19,2010-HOR,Retired
"245212",Senator,Queensland,QLD,2013-SEN,2014-07-01,,,
"JW6",Member,Nepean,NSW,1910-HOR,1910-04-13,1913-05-31,1913-HOR,Defeated
"K3W",Senator,Western Australia,WA,1958-SEN,1959-07-01,1974-04-11,1974-SEN,Retired
"JW8",Member,Capricornia,QLD,1975-HOR,1975-12-13,1977-12-10,1977-HOR,Defeated
"DF4",Member,Mackellar,NSW,1977-HOR,1977-12-10,1994-01-14,1994-BY4-MACKELLAR,Resigned
"JWA",Member,Fremantle,WA,1903-HOR,1903-12-16,1906-12-12,1906-HOR,Defeated
"WX4",Senator,New South Wales,NSW,2012-CASUAL1-NSW,2012-03-06,2013-10-24,2013-CASUAL5-NSW,Resigned
"JWC",Member,Macquarie,NSW,1906-HOR,1906-12-12,1917-05-05,1917-HOR,Defeated
"AW5",Senator,Victoria,VIC,1993-CASUAL1-VIC,1993-04-28,,,
"2U4",Senator,New South Wales,NSW,1970-SEN,1971-07-01,1987-06-05,1987-SEN,Retired
"K3X",Senator,Western Australia,WA,1925-SEN,1926-07-01,1936-05-30,1936-CASUAL1-WA,Died
"JWE",Member,La Trobe,VIC,1949-HOR,1949-12-10,1960-02-10,1960-BY1-HUNTER,Resigned
"JWK",Member,Stirling,WA,1958-HOR,1958-11-22,1961-12-09,1961-HOR,Defeated
"I0M",Senator,Western Australia,WA,2007-SEN,2008-07-01,,,
"JNG",Member,Maribyrnong,VIC,1969-HOR,1969-10-25,1983-02-04,1983-HOR,Retired
"NT4",Member,Adelaide,SA,1990-HOR,1990-03-24,1993-03-13,1993-HOR,Defeated
"JWO",Member,Cook i,NSW,1906-HOR,1906-12-12,1922-12-16,1922-HOR,Defeated
"4K6",Member,Page,NSW,1996-HOR,1996-03-02,2007-10-17,2007-HOR,Retired
"K6F",Senator,South Australia,SA,1961-SEN,1962-07-01,1981-06-30,1980-SEN,Retired
"37998",Member,Rankin,QLD,2013-HOR,2013-09-07,,,
"SN5",Senator,Western Australia,WA,1992-CASUAL1-WA,1992-03-12,1996-06-30,1996-SEN,Defeated
"K6H",Senator,Tasmania,TAS,1951-SEN,1951-04-28,1953-01-16,1953-CASUAL1-TAS,Died
"JWR",Member,Adelaide,SA,1943-HOR,1943-08-21,1958-10-14,1958-HOR,Retired
"HW9",Member,Wakefield,SA,2007-HOR,2007-11-24,,,
"JWV",Member,Perth,WA,1955-HOR,1955-12-10,1969-10-25,1969-HOR,Defeated
"EF4",Member,Pearce,WA,1990-HOR,1990-03-24,1993-02-08,1993-HOR,Retired
"JWY",Member,Riverina i,NSW,1914-HOR,1914-09-05,1922-12-16,1922-HOR,Defeated
